,Unnamed: 0,de,pl
0,0,ich,ja
1,1,sie,ona/oni/one
2,2,das,to
3,3,ist,jest
4,4,du,ty
5,5,nicht,nie
6,6,die,ta/ci
7,7,es,to
8,8,und,i
9,9,der,ten
10,10,wir,my
11,11,was,co
12,12,zu,do
13,13,er,on
14,14,ein,jeden
15,15,in,w
16,16,ja,tak
17,17,mir,mi
18,18,mit,z
19,19,wie,jak
20,20,den,tego
21,21,mich,mnie
22,22,auf,na
23,23,aber,ale
24,24,eine,jedna
25,26,hat,ma
26,27,hier,tutaj
27,28,haben,mieć
28,29,für,dla
29,30,sind,są
30,31,war,był
31,32,von,od
32,33,wenn,jeśli
33,34,dich,ciebie
34,35,ihr,jej/wy
35,36,nein,nie
36,37,habe,mam
37,38,an,na/przy
38,39,bin,jestem
39,40,noch,jeszcze
40,41,nur,tylko
41,42,da,tam
42,43,dir,tobie
43,44,sich,się
44,45,uns,nas
45,46,hast,masz
46,47,dem,temu
47,48,kann,mogę
48,49,gut,dobrze
49,50,auch,także
50,51,schon,już
51,52,als,jako
52,53,sein,być/jego
53,54,mal,raz
54,55,jetzt,teraz
55,56,ihn,jego
56,57,dann,wtedy
57,58,aus,z
58,59,meine,moje
59,60,im,w
60,61,wird,będzie
61,62,mein,mój
62,63,bist,jesteś
63,64,doch,jednak
64,65,alles,wszystko
65,66,weiß,wiem
66,67,keine,żadna/żaden
67,68,oder,albo
68,69,nach,po
69,71,man,człowiek
70,72,muss,muszę
71,74,will,chcę
72,75,ihnen,im
73,76,wo,gdzie
74,77,etwas,coś
75,78,oh,o
76,79,mehr,więcej
77,80,bei,u
78,81,also,więc
79,82,bitte,proszę
80,83,immer,zawsze
81,84,hab,mam
82,85,warum,dlaczego
83,86,vor,przed
84,87,los,chodźmy
85,88,wieder,znowu
86,89,sagen,mówić
87,90,machen,robić
88,91,danke,dziękuję
89,92,sehr,bardzo
90,93,alle,wszyscy
91,94,denn,bo
92,95,mann,mężczyzna
93,96,tun,robić
94,97,ihm,jemu
95,98,zum,do
96,99,gehen,iść
97,100,sehen,widzieć
98,101,vielleicht,może
99,102,einem,jednemu
100,103,wer,kto
101,104,ihre,ich/jej
102,105,diese,te
103,106,euch,wam
104,107,einer,jednej
105,108,komm,chodź
106,109,über,nad
107,110,gibt,jest/daje
108,111,okay,ok
109,112,wissen,wiedzieć
110,113,deine,twoje
111,114,müssen,musieć
112,115,soll,powinien
113,116,werde,będę
114,117,nie,nigdy
115,118,wirklich,naprawdę
116,119,hey,hej
117,120,kein,żaden
118,121,viel,dużo
119,122,weg,droga
120,123,würde,chciałbym
121,124,tut,robi
122,126,des,tego
123,127,einfach,prosto
124,129,hatte,miałem
125,130,zeit,czas
126,131,weil,ponieważ
127,132,willst,chcesz
128,133,kommen,przyjść
129,134,heute,dziś
130,135,kommt,przychodzi
131,136,wollen,chcą
132,137,damit,aby
133,138,ganz,całkowicie
134,139,wollte,chciałem
135,140,weißt,wiesz
136,141,ok,ok
137,142,sicher,pewny
138,143,gesagt,powiedział
139,144,frau,kobieta
140,145,nun,teraz
141,146,bis,aż
142,147,wurde,został
143,148,leid,żal
144,149,na,na
145,150,kannst,możesz
146,151,macht,robi
147,152,dieser,ten
148,153,zurück,zpowrotem
149,154,lassen,pozwolić
150,155,hallo,cześć
151,156,meinen,moje
152,157,gott,Bóg
153,158,seine,jego
154,159,zwei,dwa
155,160,genau,dokładnie
156,161,waren,byli
157,162,zur,do
158,163,lass,zostaw
159,164,klar,jasne
160,165,morgen,jutro
161,166,leute,ludzie
162,167,vater,ojciec
163,168,glaube,wierzę
164,169,gerade,właśnie
165,170,tag,dzień
166,171,gesehen,widział
167,172,reden,rozmawiać
